Sample ID,Protein (g),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Potassium (mg),Iron (mg),Fiber (g),Calories (kcal)
MOR-8533,5.39,0.38,150.04,223.89,349.83,2.56,4.56,36.0
MOR-4947,6.59,0.64,69.68,320.59,202.29,2.05,5.41,34.0
MOR-6263,4.14,0.38,136.99,205.34,206.57,2.72,3.48,44.0
MOR-4963,8.4,0.79,80.47,201.38,183.65,2.32,4.67,48.0
MOR-3737,2.84,0.7,178.64,384.69,150.96,1.69,6.13,49.0
MOR-6397,8.22,0.33,171.88,361.91,214.08,1.5,3.88,56.0
MOR-4052,4.44,0.44,191.3,352.01,361.58,1.82,7.03,42.0
MOR-8929,6.11,0.3,207.36,241.14,242.06,1.86,4.97,33.0
MOR-1147,2.61,0.15,158.1,332.58,197.29,1.29,3.3,50.0
MOR-5361,4.98,0.7,133.97,363.56,299.61,0.62,2.13,41.0
MOR-7980,5.78,0.29,187.96,373.26,162.32,1.72,4.68,38.0
MOR-8517,4.08,0.49,236.38,316.33,202.74,1.2,6.14,70.0
MOR-6166,6.63,0.21,179.1,376.22,216.32,2.86,4.68,59.0
MOR-1751,3.45,0.54,66.12,337.39,362.19,2.47,4.92,34.0
MOR-2688,7.02,0.33,171.81,387.99,354.78,0.51,3.22,63.0
MOR-1145,4.78,0.68,56.94,304.37,180.56,1.24,7.79,50.0
MOR-4968,4.92,0.86,59.1,285.2,267.44,2.05,4.89,57.0
MOR-9769,8.77,0.18,241.43,360.65,283.49,0.72,6.79,38.0
MOR-7692,4.2,0.83,68.92,328.69,270.29,0.65,7.8,42.0
MOR-1272,7.16,0.47,152.81,382.13,248.83,1.44,7.66,52.0
MOR-1245,7.26,0.55,194.39,261.65,326.74,0.77,2.35,61.0
MOR-3328,4.58,0.69,209.11,292.48,280.91,2.02,5.36,63.0
MOR-6675,5.81,0.61,208.39,295.67,293.31,0.52,7.82,56.0
MOR-3435,7.22,0.76,178.18,254.66,398.51,2.29,7.46,48.0
MOR-6787,7.33,0.18,95.38,365.81,307.21,1.24,6.56,57.0
MOR-3199,8.5,0.87,172.54,266.17,187.61,2.18,3.68,56.0
MOR-6920,2.46,0.82,199.48,347.2,337.84,1.97,3.14,69.0
MOR-2641,3.98,0.88,90.83,304.86,237.29,1.6,5.98,49.0
MOR-1620,7.47,0.4,190.94,248.2,198.23,0.75,2.19,66.0
MOR-7264,2.38,0.73,64.99,339.74,300.68,1.5,7.54,63.0
MOR-2640,2.17,0.28,236.14,379.07,273.58,1.81,6.91,58.0
MOR-3566,3.95,0.57,114.94,233.93,374.49,2.9,2.21,42.0
MOR-1584,6.52,0.65,241.33,298.93,252.33,0.91,2.3,61.0
MOR-3743,6.73,0.29,199.99,341.95,273.56,2.76,5.91,38.0
MOR-3394,6.61,0.68,187.26,374.94,364.8,0.72,3.94,56.0
MOR-4115,7.55,0.77,134.13,273.16,275.04,2.6,4.71,47.0
MOR-2246,8.72,0.49,244.33,383.37,368.15,1.37,3.56,37.0
MOR-8549,7.91,0.7,111.08,386.46,298.55,2.7,4.73,37.0
MOR-5320,7.49,0.13,245.05,348.83,214.35,1.03,7.06,39.0
MOR-3254,3.86,0.23,174.39,251.55,263.58,2.64,6.13,62.0
MOR-4930,8.72,0.59,158.71,331.82,157.88,1.66,5.97,58.0
MOR-5364,8.69,0.5,113.36,356.0,172.27,2.26,7.85,63.0
MOR-6873,6.07,0.2,113.66,286.87,384.25,1.48,7.25,59.0
MOR-7109,4.27,0.3,117.97,370.28,184.07,0.88,4.61,65.0
MOR-6514,3.26,0.76,212.62,208.87,251.44,2.13,4.5,60.0
MOR-8134,6.38,0.34,105.12,394.37,395.44,1.09,4.08,32.0
MOR-6060,5.04,0.48,157.06,389.58,270.78,0.85,2.89,64.0
MOR-1804,8.65,0.88,159.72,247.48,391.91,1.57,7.68,64.0
MOR-8098,5.3,0.49,224.87,282.74,208.19,1.95,4.78,41.0
MOR-2842,3.41,0.61,237.72,274.17,381.86,2.22,2.91,41.0
MOR-1500,4.33,0.51,185.22,290.16,378.9,1.48,6.53,64.0
MOR-3320,6.89,0.36,157.35,200.34,234.12,1.6,2.43,65.0
MOR-2936,3.05,0.59,215.22,377.4,190.22,1.33,7.61,61.0
MOR-7262,5.75,0.64,167.67,383.3,327.07,0.68,2.05,62.0
MOR-1490,5.31,0.24,192.28,307.66,198.04,1.61,4.39,43.0
MOR-6013,2.64,0.44,185.31,336.27,248.93,2.0,6.33,55.0
MOR-1816,4.73,0.12,237.67,372.02,241.72,1.29,2.42,33.0
MOR-2478,5.01,0.23,92.98,317.24,324.83,1.92,3.36,40.0
MOR-5616,6.87,0.3,100.55,229.44,230.34,1.41,2.95,38.0
MOR-7416,4.03,0.1,128.76,333.36,225.66,0.96,3.97,34.0
MOR-6534,8.61,0.7,171.85,294.54,375.78,2.56,4.7,58.0
MOR-3582,2.12,0.7,172.61,346.3,238.05,1.68,4.92,65.0
MOR-3531,7.89,0.49,138.54,230.81,268.5,1.46,2.52,43.0
MOR-6052,5.24,0.42,215.17,206.99,202.9,1.15,5.68,44.0
MOR-7703,3.82,0.21,95.44,293.64,338.56,1.18,7.45,57.0
MOR-9158,8.81,0.49,220.71,302.76,318.53,1.65,3.89,60.0
MOR-2186,6.71,0.75,146.38,305.88,317.25,2.23,4.83,44.0
MOR-3484,6.45,0.32,92.06,240.4,391.59,1.27,4.43,42.0
MOR-8975,2.85,0.58,186.32,304.81,350.94,2.86,3.11,56.0
